danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,track_name,album_name,artist
0.776,0.794,F#,-7.722,major,0.0723,0.133,2.35e-5,0.689,0.845,109.277,40yMSLSoi64msQHBhWMayx,161813,4,F# major,Dancing Machine,Dancing Machine,The Jackson 5
0.526,0.669,D,-11.809,major,0.038,0.511,2.69e-4,0.373,0.902,165.175,59Rn3cbfrBjhHzXTG9BcUT,180187,4,D major,Never Can Say Goodbye,Maybe Tomorrow,The Jackson 5
0.584,0.624,C,-7.078,major,0.0327,0.394,0,0.148,0.69,111.937,2kdIwFTWEXGZaTyQzfmPfi,163613,4,C major,Someday At Christmas,Christmas Album,The Jackson 5
0.545,0.642,G#,-6.535,minor,0.0379,0.571,3.44e-6,0.0881,0.511,121.654,4mnS3xQNJ2u0aUI2nBMBAu,192813,4,G# minor,All I Do Is Think Of You,Moving Violation,The Jackson 5
0.659,0.869,B,-5.858,major,0.046,0.00357,0,0.302,0.811,106.966,1TfAhjzRBWzYZ8IdUV3igl,201960,4,B major,Year 3000,Jonas Brothers,Jonas Brothers
0.469,0.904,B,-3.525,major,0.131,0.00528,0,0.372,0.822,149.247,6ix0SApsNi4TAZE5zDTfMj,164973,4,B major,Hold On,Jonas Brothers,Jonas Brothers
0.479,0.923,C,-3.524,major,0.0596,0.00475,0,0.124,0.537,149.953,0OHfSoJN9TqJDz8wETocUX,234147,4,C major,Fly With Me,"Lines, Vines and Trying Times",Jonas Brothers
0.547,0.859,D,-3.382,major,0.0406,0.00545,2.83e-6,0.181,0.793,150.058,71GVkB7fIwkVoYjTh6VNav,173e3,4,D major,That's Just The Way We Roll,Jonas Brothers,Jonas Brothers
0.633,0.867,A#,-4.467,major,0.0422,0.00131,0,0.129,0.772,120.997,51oXWg8RepFOwh51oYFZHZ,218560,4,A# major,Paranoid,"Lines, Vines and Trying Times",Jonas Brothers
0.524,0.648,D#,-4.024,major,0.0293,0.00227,0,0.0674,0.789,77.971,1dgIkjRplDN2R6Kq2Lu20F,207507,4,D# major,Star Girl,Motion In The Ocean,McFly
0.464,0.901,G,-3.421,major,0.0462,0.0264,0,0.233,0.636,97.978,3uHVcKeHpOCmppdrvYDdXj,177453,4,G major,Five Colours In Her Hair,Room On The 3rd Floor (Non EU version),McFly
0.542,0.559,C#,-5.313,major,0.0258,0.197,0,0.0989,0.295,129.898,5TQV97qaI3zHz6ohwn8rST,186867,4,C# major,All About You,Wonderland,McFly
0.68,0.666,A,-6.953,major,0.115,0.0694,0,0.157,0.789,151.995,1SLWLZPU1gP4UbJ7RniOFq,222920,4,A major,Love Is Easy,Memory Lane (The Best Of McFly) [Deluxe Edition],McFly
0.642,0.856,C#,-2.273,major,0.0314,0.193,0,0.11,0.755,130.583,5kImolsmbaV4uqjcnYwqxe,198880,4,C# major,Obviously,Room On The 3rd Floor (Non EU version),McFly
0.508,0.673,G,-4.581,major,0.0335,0.103,0,0.097,0.633,80.959,0M2esSxcdB6gTEeXYg7Ynq,245093,4,G major,Love Is On The Radio,Love Is On The Radio,McFly
0.684,0.794,B,-4.862,major,0.0493,0.0178,0,0.139,0.632,114.016,5LuJYWrNPFvBfXMqr33Yl8,218615,4,B major,Shine A Light - Radio Edit,Above The Noise,McFly
0.327,0.799,G,-5.399,major,0.039,0.0687,1.14e-5,0.278,0.446,199.752,3CZXTauhdIhw0uSOo9fxKt,207253,4,G major,The Heart Never Lies - Radio Edit,Memory Lane (The Best Of McFly) [Deluxe Edition],McFly
0.465,0.843,F,-3.692,major,0.0497,0.0101,0,0.376,0.563,156.635,60Paqu97lzQWDqACLcgbpi,204e3,4,F major,Don't Stop Me Now,Memory Lane (The Best Of McFly) [Deluxe Edition],McFly
0.476,0.962,E,-4.578,major,0.0688,6.76e-4,0,0.321,0.581,135.002,5wy45hYH4NjjANF5bMGMYJ,186227,4,E major,One For The Radio,ACTIVE,McFly
0.758,0.858,D,-7.69,major,0.046,0.289,0,0.0879,0.914,133.181,2Rh8bcrw6tt8wrRM8NljN0,250560,4,D major,Claridad,15 Años De Historia,Menudo
0.658,0.915,A,-6.564,major,0.0401,0.0816,9.67e-4,0.173,0.973,155.343,1zHmnDfyTpYvu7KkCeqntZ,210893,4,A major,Subete A Mi Moto,15 Años De Historia,Menudo
